"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2020-05-12",618,2.99
"Manzana a granel",24512,"2018-10-31",851,2.99
"Manzana a granel",24512,"2019-09-27",841,2.99
"Manzana a granel",24512,"2020-01-16",846,2.99
"Manzana a granel",24512,"2017-09-07",777,2.99
"Manzana a granel",24512,"2020-04-25",934,2.99
"Manzana a granel",24512,"2017-10-31",1024,2.99
"Manzana a granel",24512,"2020-02-21",694,2.99
"Manzana a granel",24512,"2018-08-14",929,2.99
"Manzana a granel",24512,"2019-05-13",545,2.99
"Manzana a granel",24512,"2018-05-22",802,2.99
"Manzana a granel",24512,"2020-07-04",517,2.99
"Manzana a granel",24512,"2019-12-28",887,2.99
"Manzana a granel",24512,"2018-12-10",806,2.99
"Manzana a granel",24512,"2019-03-12",522,2.99
"Manzana a granel",24512,"2019-08-09",406,2.99
"Manzana a granel",24512,"2018-06-12",681,2.99
"Manzana a granel",24512,"2019-09-14",958,2.99
"Manzana a granel",24512,"2020-06-03",399,2.99
"Manzana a granel",24512,"2017-08-25",909.786,2.99
"Manzana a granel",24512,"2018-03-01",699,2.99
"Manzana a granel",24512,"2018-11-15",588,2.99
"Manzana a granel",24512,"2018-07-11",679,2.99
"Manzana a granel",24512,"2019-08-02",448,2.99
"Manzana a granel",24512,"2019-01-23",581,2.99
"Manzana a granel",24512,"2018-07-09",651,2.99
"Manzana a granel",24512,"2019-05-02",529,2.99
"Manzana a granel",24512,"2018-05-31",637,2.99
"Manzana a granel",24512,"2020-04-17",750,2.99
"Manzana a granel",24512,"2018-02-07",712,2.99
"Manzana a granel",24512,"2019-09-02",859,2.99
"Manzana a granel",24512,"2017-10-10",704.94,2.99
"Manzana a granel",24512,"2020-02-03",931,2.99
"Manzana a granel",24512,"2020-07-03",323,2.99
"Manzana a granel",24512,"2019-04-05",497,2.99
"Manzana a granel",24512,"2018-11-27",662,2.99
"Manzana a granel",24512,"2018-11-20",595,2.99
"Manzana a granel",24512,"2019-11-19",777,2.99
