"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2017-11-22",755,2.99
"Manzana a granel",24512,"2017-11-10",760,2.99
"Manzana a granel",14526,"2018-01-20",692,2.99
"Manzana a granel",24512,"2020-05-07",604,2.99
"Manzana a granel",24512,"2018-01-04",673,2.99
"Manzana a granel",14526,"2020-06-27",539,2.99
"Manzana a granel",14526,"2020-04-30",623,2.99
"Manzana a granel",14526,"2018-11-26",840,2.99
"Manzana a granel",14526,"2018-02-12",730,2.99
"Manzana a granel",24512,"2020-06-12",374,2.99
"Manzana a granel",24512,"2019-01-21",620,2.99
"Manzana a granel",14526,"2020-01-22",725,2.99
"Manzana a granel",24512,"2020-03-14",871,2.99
"Manzana a granel",14526,"2018-09-27",733,2.99
"Manzana a granel",24512,"2019-09-23",900.75,2.99
"Manzana a granel",24512,"2019-07-31",533,2.99
"Manzana a granel",24512,"2020-03-09",904,2.99
"Manzana a granel",14526,"2020-01-28",684,2.99
"Manzana a granel",14526,"2020-02-19",687,2.99
"Manzana a granel",24512,"2018-02-24",820,2.99
"Manzana a granel",14526,"2020-02-14",667,2.99
"Manzana a granel",24512,"2019-01-17",547,2.99
"Manzana a granel",14526,"2019-07-06",579,2.99
"Manzana a granel",14526,"2019-07-16",644,2.99
"Manzana a granel",14526,"2017-11-28",720,2.99
"Manzana a granel",24512,"2019-10-21",849,2.99
"Manzana a granel",24512,"2017-12-21",646,2.99
"Manzana a granel",24512,"2018-12-13",591,2.99
"Manzana a granel",24512,"2019-12-23",767,2.99
"Manzana a granel",14526,"2018-09-26",720,2.99
"Manzana a granel",24512,"2019-11-01",347,2.99
"Manzana a granel",14526,"2019-07-29",697,2.99
"Manzana a granel",24512,"2018-04-26",715,2.99
"Manzana a granel",24512,"2017-12-15",721,2.99
"Manzana a granel",24512,"2020-05-18",658,2.99
"Manzana a granel",14526,"2020-04-06",563,2.99
"Manzana a granel",14526,"2019-05-14",539,2.99
"Manzana a granel",14526,"2018-10-29",773,2.99
"Manzana a granel",24512,"2020-01-15",846,2.99
"Manzana a granel",24512,"2018-09-19",664,2.99
"Manzana a granel",14526,"2020-06-17",562,2.99
"Manzana a granel",14526,"2020-08-22",580,2.99
"Manzana a granel",24512,"2019-11-02",966,2.99
"Manzana a granel",14526,"2018-08-10",680.508,2.99
"Manzana a granel",24512,"2019-10-18",765,2.99
"Manzana a granel",14526,"2019-04-15",717,2.99
"Manzana a granel",14526,"2020-01-02",608,2.99
"Manzana a granel",14526,"2018-11-24",725,2.99
"Manzana a granel",24512,"2018-06-04",700,2.99
"Manzana a granel",14526,"2019-10-23",724,2.99
"Manzana a granel",24512,"2019-01-26",717,2.99
"Manzana a granel",14526,"2019-12-07",685,2.99
"Manzana a granel",14526,"2019-01-16",728,2.99
"Manzana a granel",24512,"2017-09-09",939,2.99
"Manzana a granel",24512,"2018-12-14",565,2.99
"Manzana a granel",14526,"2017-08-01",743.26,2.99
"Manzana a granel",14526,"2019-08-30",794.909,2.99
"Manzana a granel",24512,"2019-08-22",702,2.99
"Manzana a granel",24512,"2020-04-06",854,2.99
"Manzana a granel",24512,"2018-07-07",754,2.99
"Manzana a granel",14526,"2018-07-17",674.69,2.99
"Manzana a granel",24512,"2020-09-11",391.667,2.99
"Manzana a granel",14526,"2019-06-07",658,2.99
"Manzana a granel",24512,"2018-11-12",856,2.99
"Manzana a granel",14526,"2018-10-05",717,2.99
"Manzana a granel",14526,"2020-07-01",550,2.99
"Manzana a granel",14526,"2018-11-12",763.831,2.99
"Manzana a granel",14526,"2018-01-09",766,2.99
"Manzana a granel",14526,"2020-04-01",585,2.99
"Manzana a granel",24512,"2018-08-24",635,2.99
"Manzana a granel",24512,"2018-08-07",756,2.99
"Manzana a granel",14526,"2019-05-08",688,2.99
"Manzana a granel",14526,"2019-09-21",642,2.99
"Manzana a granel",14526,"2017-09-11",905,2.99
"Manzana a granel",14526,"2020-04-27",502,2.99
"Manzana a granel",24512,"2018-07-31",580,2.99
"Manzana a granel",14526,"2020-04-11",690,2.99
"Manzana a granel",14526,"2019-09-02",774,2.99
"Manzana a granel",14526,"2018-03-09",751,2.99
"Manzana a granel",24512,"2019-11-30",941,2.99
"Manzana a granel",14526,"2018-05-30",749,2.99
"Manzana a granel",14526,"2020-05-07",533,2.99
"Manzana a granel",24512,"2019-01-19",729,2.99
"Manzana a granel",24512,"2018-08-08",679,2.99
"Manzana a granel",14526,"2020-04-23",550,2.99
"Manzana a granel",14526,"2017-11-13",725,2.99
"Manzana a granel",24512,"2018-07-04",621,2.99
"Manzana a granel",14526,"2019-05-03",774,2.99
"Manzana a granel",24512,"2019-05-24",554,2.99
"Manzana a granel",24512,"2019-06-27",439,2.99
"Manzana a granel",24512,"2017-10-24",738,2.99
"Manzana a granel",24512,"2018-06-15",710,2.99
"Manzana a granel",24512,"2019-11-26",780,2.99
"Manzana a granel",24512,"2018-09-05",616,2.99
"Manzana a granel",24512,"2019-11-20",840,2.99
"Manzana a granel",24512,"2019-09-17",841,2.99
"Manzana a granel",14526,"2020-04-02",665,2.99
"Manzana a granel",24512,"2017-09-14",744.916,2.99
"Manzana a granel",14526,"2018-05-04",732,2.99
"Manzana a granel",24512,"2019-03-30",673,2.99
"Manzana a granel",14526,"2017-10-04",836,2.99
"Manzana a granel",14526,"2020-05-05",479,2.99
"Manzana a granel",14526,"2019-10-16",753,2.99
"Manzana a granel",24512,"2019-01-25",513,2.99
